customer_id,customer_name,industry,account_created,customer_segment
1,Kelly-Santiago,Retail,2025-12-06,Mid-Market
2,"Zuniga, Wong and Lynch",Manufacturing,2021-09-01,Enterprise
3,Ferguson and Sons,Education,2022-02-08,Mid-Market
4,Ford LLC,Finance,2023-09-26,Enterprise
5,"Watts, Robinson and Nguyen",Education,2021-09-02,Small Business
6,Perez Inc,Finance,2024-11-13,Enterprise
7,Morales-Jones,Healthcare,2025-01-01,Small Business
8,"Walter, Edwards and Rios",Manufacturing,2025-06-10,Mid-Market
9,Wilkerson-Day,Education,2023-12-21,Mid-Market
10,Baker and Sons,Education,2022-02-17,Mid-Market
11,"Hoffman, Baker and Richards",Retail,2025-09-23,Mid-Market
12,"Ross, Robinson and Bright",Retail,2022-08-03,Small Business
13,"Snyder, Campos and Callahan",Education,2022-02-19,Enterprise
14,Burton Ltd,Healthcare,2024-09-20,Mid-Market
15,Carlson-Cruz,Finance,2025-04-26,Enterprise
16,"Ferrell, Rice and Maddox",Education,2021-07-06,Enterprise
17,Frazier Inc,Healthcare,2022-02-04,Mid-Market
18,"Dyer, Potter and Mack",Finance,2025-06-12,Mid-Market
19,Rodriguez-Graham,Education,2022-05-05,Mid-Market
20,Smith-Bowen,Retail,2023-08-17,Mid-Market
21,"Baker, Mason and White",Technology,2022-06-10,Enterprise
22,Harrell LLC,Technology,2022-06-02,Enterprise
23,"Romero, Gonzalez and Brooks",Finance,2023-10-14,Small Business
24,Ryan PLC,Manufacturing,2022-12-16,Mid-Market
25,George Group,Healthcare,2023-12-26,Small Business
26,Rodriguez LLC,Retail,2025-06-15,Enterprise
27,Allen-Allen,Manufacturing,2023-06-16,Mid-Market
28,"Arroyo, Miller and Tucker",Technology,2021-09-17,Small Business
29,Spence PLC,Technology,2023-03-04,Mid-Market
30,Anderson Group,Healthcare,2022-09-16,Mid-Market
31,"Martin, Rose and Obrien",Education,2025-09-22,Mid-Market
32,Hickman Ltd,Retail,2023-05-17,Enterprise
33,"Harris, Collins and Carney",Manufacturing,2022-02-07,Mid-Market
34,"Brooks, Lam and Hayes",Retail,2023-08-13,Mid-Market
35,Walker LLC,Finance,2025-07-30,Small Business
36,Chapman and Sons,Education,2021-11-01,Enterprise
37,"Robinson, Jones and Welch",Healthcare,2025-04-25,Small Business
38,Jones Inc,Manufacturing,2022-06-22,Enterprise
39,Jones-Young,Manufacturing,2025-12-24,Enterprise
40,"Washington, Ryan and Cummings",Technology,2022-05-09,Enterprise
41,"Johnston, Sanchez and Kennedy",Retail,2022-06-30,Mid-Market
42,Lee-Davis,Retail,2023-11-29,Mid-Market
43,Gomez-Jenkins,Manufacturing,2025-11-01,Small Business
44,"Brown, Valdez and Lucas",Technology,2021-05-22,Mid-Market
45,Powell LLC,Finance,2021-04-13,Enterprise
46,Wright and Sons,Retail,2021-09-24,Small Business
