order_id,transaction_date,customer_name,region,sales_rep,product_name,category,quantity,unit_price,subtotal,discount_percent,discount_amount,total_amount,sales_cycle_days,status
ORD-2022-02858,8/24/2022,Gray Group,West,Susan Rogers,Bookshelf,Furniture,2,1434.2,2868.4,0,0,2868.4,17,Completed
ORD-2024-02982,7/8/2024,Lee-Davis,South,Christopher Davis,Calculator,Office Supplies,15,123.02,1845.3,0,0,1845.3,6,Completed
ORD-2024-02101,2/8/2024,Barnes PLC,East,Danielle Johnson,Calculator,Office Supplies,20,53.9,1078,0,0,1078,23,Completed
ORD-2022-08694,19/10/2022,"Holmes, Williams and Wright",South,Lisa Smith,Standing Desk,Furniture,3,1407.9,4223.7,5,211.19,4012.51,39,Completed
ORD-2023-09029,16/09/2023,Rodriguez LLC,East,Maria Montgomery,Desktop Station,Electronics,5,"$1,707.82 ",8539.1,0,0,8539.1,56,Completed
ORD-2023-07193,6/12/2023,Carlson-Smith,East,Amanda Dudley,Conference Table,Furniture,1,409.96,409.96,20,81.99,327.97,79,Completed
ORD-2024-02328,10/27/2024,"Mckee, Gardner and Davenport",Central,Debra Gardner,Desktop Station,Electronics,1,1558.99,1558.99,0,0,1558.99,73,Completed
ORD-2023-08449,11/28/2023,"Fuller, Ingram and Moss",East,Joshua Walker,Paper Ream,Office Supplies,5,29.15,145.75,0,0,145.75,59,COMPLETED
ORD-2023-10789,8/5/2023,Cordova Group,North,Susan Rogers,Paper Ream,Office Supplies,10,114.9,1149,5,57.45,1091.55,46,Completed
ORD-2022-06405,4/25/2022,Williams-Cook,North,Jeffery Wagner,Conference Table,Furniture,4,1420.21,5680.84,0,0,5680.84,45,Completed
ORD-2023-10815,1/8/2023,Smith and Sons,South,Anthony Gonzalez,Notebook Pack,Office Supplies,9,137.8,1240.2,5,62.01,1178.19,25,Completed
ORD-2024-10236,5/5/2024,Baird-Sanchez,West,Christopher Davis,Keyboard Elite,Electronics,6,465.58,2793.48,0,0,2793.48,11,Completed
ORD-2024-04178,2/13/2024,Ferguson and Sons,West,Joshua Walker,"Monitor 27""",Electronics,6,491.39,2948.34,15,442.25,2506.09,22,Completed
ORD-2023-02584,1/11/2023,Spencer-Garcia,West,Cynthia Diaz,Calculator,Office Supplies,42,53.14,2231.88,5,111.59,2120.29,89,Completed
ORD-2024-09537,1/9/2024,,East,Jeffrey Lawrence,Calculator,Office Supplies,1,$52.78 ,52.78,0,0,52.78,81,Completed
